index;barcode;title;author;isbn;complete_edition;date_of_publication;keep
191;EM000009009825;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783906842318;Ausgabe 2019, 20. Auflage, aktueller Stand: 18.1.2019;2019;
192;EM000008715041;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842233;Edition Zürich, Ausgabe 2018, 18. Auflage, aktueller Stand: 10.1.2018;2018;
193;EM000009009826;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842325;Edition Zürich, Ausgabe 2019, 19. Auflage, aktueller Stand: 18.1.2019;2019;
194;EM000007058939;Die steuerrechtlichen Kreis- und Rundschreiben des Bundes Kompaktsammlung der wichtigsten Verwaltungsverordnungen der Eidgenössischen Steuerverwaltung ESTV und der Schweizerischen Steuerkonferenz SSK;Schweiz;9783905901566;Ausgabe 2011, [3. Auflage], aktueller Stand: 18.3.2011;2011;
195;EM000008550909;Die steuerrechtlichen Kreis- und Rundschreiben des Bundes Kompaktsammlung der wichtigsten Verwaltungsverordnungen der Eidgenössischen Steuerverwaltung ESTV und der Schweizerischen Steuerkonferenz SSK;Schweiz;9783906842158;Ausgabe 2017, 9. Auflage, aktueller Stand: 25.2.2017;2017;
196;EM000008121495;Die steuerrechtlichen Kreis- und Rundschreiben des Bundes Kompaktsammlung der wichtigsten Verwaltungsverordnungen der Eidgenössischen Steuerverwaltung ESTV und der Schweizerischen Steuerkonferenz SSK;Schweiz;9783905901818;Ausgabe 2014, [6. Auflage], aktueller Stand: 15.2.2014;2014;
197;EM000007203362;Die steuerrechtlichen Kreis- und Rundschreiben des Bundes Kompaktsammlung der wichtigsten Verwaltungsverordnungen der Eidgenössischen Steuerverwaltung ESTV und der Schweizerischen Steuerkonferenz SSK : übersichtliche Gliederung und Systematik : Kreisschreiben ESTV, Rundschreiben ESTV, Merkblätter ESTV, Wegleitungen ESTV/SSK, Kreisschreiben/Analysen SSK, Weisung Kanton ZH;Schweiz;9783905901719;Ausgabe 2013, [5. Auflage], aktueller Stand: 7.5.2013;2013;
198;EM000007057123;Die steuerrechtlichen Kreis- und Rundschreiben des Bundes Kompaktsammlung der wichtigsten Verwaltungsverordnungen der Eidgenössischen Steuerverwaltung ESTV und der Schweizerischen Steuerkonferenz SSK;Schweiz;9783905901467;Ausgabe 2010, [2. Auflage], aktueller Stand: 27.4.2010;2010;
199;EM000005846383;Die steuerrechtlichen Kreis- und Rundschreiben des Bundes (inkl. ausgewählter Kreisschreiben des SSK und Weisungen der Kantone) : Kompaktsammlung ausgewählter steuerrechtlicher Kreis- und Rundschreiben, Merkblätter und Weisungen der eidgenössischen Steuerverwaltung, der Schweizerischen Steuerkonferenz und der Kantone;Schweiz;3905901110;Ausgabe 2005/2006, Stand vom 15. Februar 2005;2005;
200;EM000007698429;Les lois fiscales fédérales (y compris le Modèle de Convention de l'OCDE) : recueil compact des lois fédérales suisses en matière fiscale;Schweiz;9783905901542;Édition 2011, [12e édition], état le 12 janvier 2011;2011;
201;EM000007698567;Le leggi fiscali federali (ivi compresa la convenzione modello OCSE) : raccolta compata di leggi federali svizzere in materia fiscale;Schweiz;9783905901627;Edizione 2012, [2a edizione], stato attuale garantito: 16.1.2012;2012;
202;EM000007203551;Circulaires et instructions fédérales en matière fiscale recueil des ordonnances administratives de l'Administration fédérale des contributions AFC et des circulaires de la Conférence Suisse des impôts CSI : aperçu global de l'articulation de l'ouvrage ... etc.;Gygax, Daniel R.;9783905901733;Ed. 2013/2014, [3ème éd.], état le 22.7.2013;2013;
203;EM000007698330;Die steuerrechtlichen Kreis- und Rundschreiben des Bundes Kompaktsammlung der wichtigsten Verwaltungsverordnungen der Eidgenössischen Steuerverwaltung ESTV und der Schweizerischen Steuerkonferenz SSK : übersichtliche Gliederung und Systematik : Kreisschreiben ESTV, Rundschreiben ESTV, Merkblätter ESTV, Wegleitungen ESTV/SSK, Kreisschreiben SSK, Weisung Kanton ZH, Stichwortverzeichnis;Schweiz;9783905901634;Ausgabe 2012, [4. Auflage], aktueller Stand: 19.3.2012;2012;
204;EM000008121373;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783905901764;Ausgabe 2014, 15. Auflage, aktueller Stand: 6.1.2014;2014;
205;EM000007202890;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783905901689;Edition Zürich, Ausgabe 2013, [13. Auflage], aktueller Stand: 7.1.2013;2013;
206;EM000007203272;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783905901672;Ausgabe 2013, [14. Auflage];2013;
207;EM000009412019;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842547;Edition Zürich, Ausgabe 2021, 21. Auflage, aktueller Stand: 14.1.2021;2021;
208;EM000009228387;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen): Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783906842530;Ausgabe 2021, 22. Auflage, aktueller Stand: 14.01.2021;2021;
209;EM000007697590;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783905901603;Edition Zürich, Ausgabe 2012, [12. Auflage], aktueller Stand: 6. Januar 2012;2012;
210;EM000007056630;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783905901597;Ausgabe 2012, [13. Auflage];2012;
211;EM000007201696;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783905901597;Ausgabe 2012, [13. Auflage];2012;
212;EM000007058940;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783905901535;Edition Zürich, Ausgabe 2011, [11. Auflage], Stand: 12.01.2011;2011;
213;EM000008715042;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783906842226;Ausgabe 2018, 19. Auflage, aktueller Stand: 10.1.2018;2018;
214;EM000006327419;Einführung in das internationale Steuerrecht der Schweiz;Locher, Peter;3727208988;;1996;
215;EM000006531888;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze;Schweiz;9783905901429;Ausgabe 2010, [11. Auflage];2010;
216;EM000005848729;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783905901214;Edition Zürich, Ausgabe 2007, [7. Auflage];2007;
217;EM000006060772;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;390590117X;Edition Zürich, Ausgabe 2006, [6. Auflage];2006;
